snapshot,issue_id,reward,severity,effort_minutes,created_at
2020-04-01 00:00:00+00:00,AXEZL-MhopDN7Jbw5eaU,1.8666666666666667,LOW,2,2020-03-26 23:27:03
2020-04-01 00:00:00+00:00,AXEZL-PYopDN7Jbw5eab,1.8666666666666667,LOW,2,2020-03-26 23:27:03
2020-04-01 00:00:00+00:00,AZBbMXrM-vc9aDr8e5rw,1.8666666666666667,LOW,2,2020-03-25 17:45:55
2020-04-01 00:00:00+00:00,AZBbMXef-vc9aDr8e5rc,1.8666666666666667,LOW,2,2020-03-25 17:45:55
2020-05-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tP,7.666666666666667,HIGH,5,2018-08-10 06:26:25
2020-05-01 00:00:00+00:00,AZOLYRGK2vcmJlCxpCeL,1.8666666666666667,LOW,2,2020-04-28 17:36:29
2020-05-01 00:00:00+00:00,AZOLYTXf2vcmJlCxpCe2,1.8666666666666667,LOW,2,2020-04-24 22:54:58
2020-05-01 00:00:00+00:00,AZOLYTXf2vcmJlCxpCe3,1.8666666666666667,LOW,2,2020-04-24 22:54:58
2020-05-01 00:00:00+00:00,AZOLYTXf2vcmJlCxpCe4,1.8666666666666667,LOW,2,2020-04-24 22:54:58
2020-06-01 00:00:00+00:00,AZBbMbVO-vc9aDr8e5ws,7.666666666666667,HIGH,5,2019-10-21 18:15:43
2020-06-01 00:00:00+00:00,AZBbMYvr-vc9aDr8e5sh,7.666666666666667,HIGH,5,2020-05-12 21:26:35
2020-06-01 00:00:00+00:00,AZBbMbZ8-vc9aDr8e5xL,1.8666666666666667,LOW,2,2020-05-28 23:41:30
2020-06-01 00:00:00+00:00,AZUWLypl36iphIe0EWXs,0.8666666666666667,INFO,2,2020-05-27 20:38:39
2020-06-01 00:00:00+00:00,AZUWLypl36iphIe0EWXr,0.8666666666666667,INFO,2,2020-05-27 20:38:39
2020-07-01 00:00:00+00:00,AZBbMY7I-vc9aDr8e5tG,7.666666666666667,HIGH,5,2020-01-10 23:51:46
2020-07-01 00:00:00+00:00,AZTxM3B1H5-zNsbPck5H,0.8666666666666667,INFO,2,2020-06-23 17:46:03
2020-07-01 00:00:00+00:00,AZUWLyDm36iphIe0EWXT,0.8666666666666667,INFO,2,2020-06-23 17:46:03
2020-07-01 00:00:00+00:00,AZTxM3B1H5-zNsbPck5F,0.8666666666666667,INFO,2,2020-06-23 17:46:03
2020-07-01 00:00:00+00:00,AZUWL1GO36iphIe0EWbN,0.8666666666666667,INFO,2,2020-06-22 20:09:15
2020-08-01 00:00:00+00:00,AZBbMXOD-vc9aDr8e5rC,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2020-08-01 00:00:00+00:00,AZBbMXbh-vc9aDr8e5rT,3.6666666666666665,MEDIUM,5,2020-07-16 17:23:48
2020-08-01 00:00:00+00:00,AXMmq9WhJBfjKjC4rb0N,1.8666666666666667,LOW,2,2020-07-07 00:23:14
2020-08-01 00:00:00+00:00,AXZoHv5Oaap2AIZWylQK,1.8666666666666667,LOW,2,2020-07-07 00:23:14
