time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range
14336,7,368,4.76,38,26.939999959999994,0.0003,60,79.80256394147872,0.06327801942825317,0.05107421875,-4.118033413589001,-0.021125817409483716,0.009567406,37.395423889160156,0.2
16384,8,365,4.87,44,27.783999930000004,0.0003,70,76.11243818998337,0.15019243955612183,0.02626953125,-4.019476728141308,-0.018067847573547624,0.008116175,36.49848556518555,0.2
2048,1,1002,4.91,2,11.5426666,0.0003,80,64.8504488825798,0.29084253311157227,0.030810546875,-3.93950814679265,-0.01623612828407204,0.007950619,44.40133285522461,0.2
4096,2,367,4.9,11,14.24133325,0.0003,10,25.124791458249092,-1.2278556823730469e-05,0.466162109375,-4.835209175944328,-0.06305828626500443,0.030756041,17.4512996673584,0.2
6144,3,392,4.96,15,16.09866661,0.0003,20,36.57024813294411,0.0004356503486633301,0.45869140625,-4.741973784565926,-0.06010696806770284,0.041186187,18.21550178527832,0.2
8192,4,300,4.82,27,18.79333326,0.0003,30,47.50526198744774,0.00013059377670288086,0.518017578125,-4.6386027708649635,-0.059930617944337426,0.026178777,21.16307258605957,0.2
10240,5,315,4.86,32,22.87866662,0.0003,40,56.03175712823868,0.00035893917083740234,0.46455078125,-4.497671909630299,-0.05556715947459452,0.020245025,28.532445907592773,0.2
12288,6,282,4.83,43,23.559333239999997,0.0003,50,65.144052028656,0.02084040641784668,0.263037109375,-4.369281208515167,-0.043833976497990076,0.018132132,35.40766906738281,0.2
14336,7,291,4.86,49,25.40199997,0.0003,60,72.30397108793258,0.05078935623168945,0.097607421875,-4.241906762123108,-0.02881676293181954,0.013056679,34.85954666137695,0.2
16384,8,273,4.69,59,25.328666609999996,0.0003,70,72.3024371266365,0.12085199356079102,0.10947265625,-4.121747887134552,-0.03008523428143235,0.014298199,24.62739372253418,0.2
2048,1,300,4.93,6,11.34866656,0.0003,80,75.6618112564087,0.1856546401977539,0.03203125,-4.035301873087883,-0.017365187374525703,0.009452172,46.91685104370117,0.2
4096,2,335,4.91,12,14.728666590000003,0.0003,10,22.259687212109565,0.0011802911758422852,0.455859375,-4.939103269577027,-0.06325052879983559,0.035820276,9.473806381225586,0.2
6144,3,279,4.89,21,17.7579999,0.0003,20,34.21393845677376,6.794929504394531e-06,0.46767578125,-4.8315436989068985,-0.06001883429707959,0.0378991,14.090890884399414,0.2
8192,4,296,4.88,27,19.82933325,0.0003,30,47.82100358009338,0.00020450353622436523,0.525634765625,-4.687857493758202,-0.060455813468433914,0.023221785,26.46269989013672,0.2
